KODA;SLOVENSKI NAZIV;ANGLEŠKI NAZIV
H15.1;Episkleritis;Episcleritis
H15.8;Druge okvare beločnice;Other disorders of sclera
H15.9;Okvara beločnice, neopredeljena;Disorder of sclera, unspecified
H16;Vnetje roženice (keratitis);Keratitis
H16.0;Roženični čir (ulkus);Corneal ulcer
H16.1;Druge vrste površinski keratitis brez konjunktivitisa;Other superficial keratitis without conjunctivitis
H16.2;Keratokonjunktivitis;Keratoconjunctivitis
H16.3;Intersticijski in globoki keratitis;Interstitial and deep keratitis
H16.4;Roženična neovaskularizacija;Corneal neovascularisation
H16.8;Druge vrste keratitis;Other keratitis
H16.9;Keratitis, neopredeljen;Keratitis, unspecified
H17;Roženične brazgotine in motnjave;Corneal scars and opacities
H17.0;Adherentni levkom;Adherent leukoma
H17.1;Druge vrste centralna motnjava roženice;Other central corneal opacity
H17.8;Druge roženične brazgotine in motnjave;Other corneal scars and opacities
H17.9;Roženična brazgotina in motnjava, neopredeljena;Corneal scar and opacity, unspecified
H18;Druge okvare roženice;Other disorders of cornea
H18.0;Roženične pigmentacije in depoziti;Corneal pigmentations and deposits
H18.1;Bulozna keratopatija;Bullous keratopathy
H18.2;Druge vrste roženični edem;Other corneal oedema
H18.3;Spremembe v roženičnih membranah;Changes in corneal membranes
H18.4;Degeneracija roženice;Corneal degeneration
H18.5;Hereditarne distrofije roženice;Hereditary corneal dystrophies
H18.6;Keratokonus;Keratoconus
H18.7;Druge roženične deformacije;Other corneal deformities
H18.8;Druge opredeljene okvare roženice;Other specified disorders of cornea
H18.9;Okvara roženice, neopredeljena;Disorder of cornea, unspecified
H19;Okvare beločnice in roženice pri boleznih, uvrščenih drugje;Disorders of sclera and cornea in diseases classified elsewhere
H19.0;Skleritis in episkleritis pri boleznih, uvrščenih drugje;Scleritis and episcleritis in diseases classified elsewhere
H19.1;Herpesvirusni keratitis in keratokonjunktivitis (B00.5†);Herpesviral keratitis and keratoconjunctivitis (B00.5+)
H19.2;Keratitis in keratokonjunktivitis pri drugih infekcijskih in parazitskih boleznih, uvrščenih drugje;Keratitis and keratoconjunctivitis in other infectious and parasitic diseases classified elsewhere
H19.3;Keratitis in keratokonjunktivitis pri drugih boleznih, uvrščenih drugje;Keratitis and keratoconjunctivitis in other diseases classified elsewhere
H19.8;Druge okvare beločnice in roženice pri boleznih, uvrščenih drugje;Other disorders of sclera and cornea in diseases classified elsewhere
H20;Iridociklitis;Iridocyclitis
H20.0;Akutni in subakutni iridociklitis;Acute and subacute iridocyclitis
H20.1;Kronični iridociklitis;Chronic iridocyclitis
H20.2;Fakolitični iridociklitis;Lens-induced iridocyclitis
H20.8;Drugi iridociklitisi;Other iridocyclitis
H20.9;Iridociklitis, neopredeljen;Iridocyclitis, unspecified
H21;Druge bolezni šarenice in ciliarnika;Other disorders of iris and ciliary body
H21.0;Hifema;Hyphaema
H21.1;Druge žilne okvare šarenice in ciliarnika;Other vascular disorders of iris and ciliary body
H21.2;Degeneracija šarenice in ciliarnika;Degeneration of iris and ciliary body
H21.3;Cista šarenice, ciliarnika in sprednjega prekata;Cyst of iris, ciliary body and anterior chamber
H21.4;Zenične membrane;Pupillary membranes
H21.5;Druge zarastline in raztrganine šarenice in ciliarnika;Other adhesions and disruptions of iris and ciliary body
H21.8;Druge opredeljene okvare šarenice in ciliarnika;Other specified disorders of iris and ciliary body
H21.9;Okvara šarenice in ciliarnika, neopredeljena;Disorder of iris and ciliary body, unspecified
H22;Okvara šarenice in ciliarnika pri boleznih, uvrščenih drugje;Disorders of iris and ciliary body in diseases classified elsewhere
H22.0;Iridociklitis pri infekcijskih in parazitskih boleznih, uvrščenih drugje;Iridocyclitis in infectious and parasitic diseases classified elsewhere
H22.1;Iridociklitis pri drugih boleznih, uvrščenih drugje;Iridocyclitis in other diseases classified elsewhere
H22.8;Druge okvare šarenice in ciliarnika pri boleznih, uvrščenih drugje;Other disorders of iris and ciliary body in diseases classified elsewhere
H25;Starostna siva mrena (katarakta);Senile cataract
H25.0;Starostna začetna siva mrena;Senile incipient cataract
H25.1;Starostna nuklearna siva mrena;Senile nuclear cataract
H25.2;Starostna siva mrena tipa Morgagni;Senile cataract, morgagnian type
H25.8;Druge vrste starostna siva mrena;Other senile cataract
H25.9;Starostna siva mrena, neopredeljena;Senile cataract, unspecified
H26;Druge sive mrene (katarakte);Other cataract
H26.0;Infantilna, juvenilna in presenilna siva mrena;Infantile, juvenile and presenile cataract
H26.1;Poškodbena siva mrena;Traumatic cataract
H26.2;Cataracta complicata;Complicated cataract
H26.3;Siva mrena, ki jo inducirajo zdravila;Drug-induced cataract
H26.4;Sekundarna siva mrena;After-cataract
H26.8;Druge vrste opredeljena siva mrena;Other specified cataract
H26.9;Siva mrena, neopredeljena;Cataract, unspecified
H27;Druge okvare leče;Other disorders of lens
H27.0;Afakija;Aphakia
H27.1;Dislokacija leče;Dislocation of lens
H27.8;Druge opredeljene okvare leče;Other specified disorders of lens
H27.9;Okvara leče, neopredeljena;Disorder of lens, unspecified
H28;Siva mrena (katarakta) in druge okvare leče pri boleznih, uvrščenih drugje;Cataract and other disorders of lens in diseases classified elsewhere
H28.1;Siva mrena pri drugih endokrinih, prehranskih (nutricijskih) in presnovnih (metaboličnih) boleznih;Cataract in endocrine, nutritional and metabolic diseases
H28.2;Siva mrena pri drugih boleznih, uvrščenih drugje;Cataract in other diseases classified elsewhere
H28.8;Druge okvare leče pri boleznih, uvrščenih drugje;Other disorders of lens in diseases classified elsewhere
H30;Horioretinalno (žilničnomrežnično) vnetje;Chorioretinal inflammation
H30.0;Fokalno horioretinalno vnetje;Focal chorioretinal inflammation
H30.1;Diseminirano žilnično vnetje;Disseminated chorioretinal inflammation
H30.2;Zadajšni ciklitis;Posterior cyclitis
H30.8;Druga horioretinalna vnetja;Other chorioretinal inflammations
H30.9;Horioretinalno vnetje, neopredeljeno;Chorioretinal inflammation, unspecified
H31;Druge okvare žilnice;Other disorders of choroid
H31.0;Horioretinalne brazgotine;Chorioretinal scars
H31.1;Degeneracija žilnice;Choroidal degeneration
H31.2;Dedne distrofije žilnice;Hereditary choroidal dystrophy
H31.3;Krvavitev v žilnici in ruptura žilnice;Choroidal haemorrhage and rupture
H31.4;Odstop žilnice;Choroidal detachment
H31.8;Druge opredeljene okvare žilnice;Other specified disorders of choroid
H31.9;Okvara žilnice, neopredeljena;Disorder of choroid, unspecified
H32;Horioretinalne (žilničnomrežnične) okvare pri boleznih, uvrščenih drugje;Chorioretinal disorders in diseases classified elsewhere
H32.0;Horioretinalno vnetje pri infekcijskih in parazitskih boleznih, uvrščenih drugje;Chorioretinal inflammation in infectious and parasitic diseases classified elsewhere
H32.8;Druge horioretinalne okvare pri boleznih, uvrščenih drugje;Other chorioretinal disorders in diseases classified elsewhere
H33;Odstopi  in raztrganine mrežnice;Retinal detachments and breaks
H33.0;Odstop mrežnice z raztrganino mrežnice;Retinal detachment with retinal break
H33.1;Retinoshiza in mrežnične ciste;Retinoschisis and retinal cysts
H33.2;Serozni odstop mrežnice;Serous retinal detachment
H33.3;Raztrganine mrežnice brez odstopa mrežnice;Retinal breaks without detachment
H33.4;Trakcijski odstop mrežnice;Traction detachment of retina
H33.5;Drugi odstopi mrežnice ;Other retinal detachments
H34;Okluzije mrežničnih žil;Retinal vascular occlusions
H34.0;Prehodna okluzija mrežnične arterije;Transient retinal artery occlusion
H34.1;Okluzija centralne mrežnične arterije;Central retinal artery occlusion
H34.2;Druge okluzije mrežničnih arterij;Other retinal artery occlusions
H34.8;Druge okluzije mrežničnih žil;Other retinal vascular occlusions
H34.9;Okluzija mrežničnih žil, neopredeljena;Retinal vascular occlusion, unspecified
H35;Druge okvare mrežnice;Other retinal disorders
H35.0;Retinopatija očesnega ozadja in mrežnične žilne spremembe;Background retinopathy and retinal vascular changes
H35.1;Prematurna retinopatija;Retinopathy of prematurity
H35.2;Druge vrste proliferativna retinopatija;Other proliferative retinopathy
H35.3;Degeneracija makule in zadajšnega pola;Degeneration of macula and posterior pole
H35.4;Periferna degeneracija mrežnice;Peripheral retinal degeneration
H35.5;Hereditarna distrofija mrežnice;Hereditary retinal dystrophy
H35.6;Mrežnična krvavitev;Retinal haemorrhage
H35.7;Razslojitev mrežničnih plasti;Separation of retinal layers
H35.8;Druge opredeljene okvare mrežnice;Other specified retinal disorders
H35.9;Okvara mrežnice, neopredeljena;Retinal disorder, unspecified
H36;Okvare mrežnice pri boleznih, uvrščenih drugje;Retinal disorders in diseases classified elsewhere
H40;Glavkom (zelena mrena);Glaucoma
H40.0;Suspektni glavkom;Glaucoma suspect
H40.1;Primarni glavkom z odprtim zakotjem;Primary open-angle glaucoma
H40.2;Primarni glavkom z zaprtim zakotjem;Primary angle-closure glaucoma
H40.3;Sekundarni glavkom po poškodbi očesa;Glaucoma secondary to eye trauma
H40.4;Sekundarni glavkom po vnetju očesa;Glaucoma secondary to eye inflammation
H40.5;Sekundarni glavkom pri drugih okvarah očesa;Glaucoma secondary to other eye disorders
H40.6;Sekundarni glavkom zaradi zdravil;Glaucoma secondary to drugs
H40.8;Druge vrste glavkom;Other glaucoma
H40.9;Glavkom, neopredeljen;Glaucoma, unspecified
H42;Glavkom (zelena mrena) pri boleznih, uvrščenih drugje;Glaucoma in diseases classified elsewhere
H42.0;Glavkom pri endokrinih, prehranskih (nutricijskih) in presnovnih (metaboličnih) boleznih;Glaucoma in endocrine, nutritional and metabolic diseases
H42.8;Glavkom pri drugih boleznih, uvrščenih drugje;Glaucoma in other diseases classified elsewhere
H43;Okvare steklovine;Disorders of vitreous body
H43.0;Prolaps steklovine;Vitreous prolapse
H43.1;Krvavitev v steklovino;Vitreous haemorrhage
H43.2;Kristalinski depoziti v steklovini;Crystalline deposits in vitreous body
H43.3;Druge motnjave v steklovini;Other vitreous opacities
H43.8;Druge okvare steklovine;Other disorders of vitreous body
H43.9;Okvara steklovine, neopredeljena;Disorder of vitreous body, unspecified
H44;Okvare zrkla;Disorders of globe
H44.0;Gnojni endoftalmitis;Purulent endophthalmitis
H44.1;Druge vrste endoftalmitis;Other endophthalmitis
H44.2;Degenerativna kratkovidnost;Degenerative myopia
H44.3;Druge degenerativne okvare zrkla;Other degenerative disorders of globe
H44.4;Hipotonija očesa;Hypotony of eye
H44.5;Degenerirana stanja zrkla;Degenerated conditions of globe
H44.6;Zaostali (stari) intraokularni magnetni tujek;Retained (old) intraocular foreign body, magnetic
H44.7;Zaostali (stari) intraokularni nemagnetni tujek;Retained (old) intraocular foreign body, nonmagnetic
H44.8;Druge okvare zrkla;Other disorders of globe
H44.9;Okvara zrkla, neopredeljena;Disorder of globe, unspecified
H45;Okvare steklovine in zrkla pri boleznih, uvrščenih drugje;Disorders of vitreous body and globe in diseases classified elsewhere
H45.0;Krvavitev v steklovino pri boleznih, uvrščenih drugje;Vitreous haemorrhage in diseases classified elsewhere
H45.1;Endoftalmitis pri boleznih, uvrščenih drugje;Endophthalmitis in diseases classified elsewhere
H45.8;Druge okvare steklovine in zrkla pri boleznih, uvrščenih drugje;Other disorders of vitreous body and globe in diseases classified elsewhere
H46;Optični nevritis;Optic neuritis
H47;Druge okvare vidnega [2.] živca in vidnih prog;Other disorders of optic [2nd] nerve and visual pathways
H47.0;Okvare vidnega živca, ki niso uvrščene drugje;Disorders of optic nerve, not elsewhere classified
H47.1;Edem papile, neopredeljen;Papilloedema, unspecified
H47.2;Atrofija vidnega živca;Optic atrophy
H47.3;Druge okvare papile;Other disorders of optic disc
H47.4;Okvare kjazme (chiasma opticum);Disorders of optic chiasm
H47.5;Okvare drugih delov vidnih prog;Disorders of other visual pathways
H47.6;Okvare vidne skorje;Disorders of visual cortex
H47.7;Okvara vidnih prog, neopredeljena;Disorder of visual pathways, unspecified
H48;Okvare vidnega [2.] živca in vidnih prog pri boleznih, uvrščenih drugje;Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere
H48.0;Atrofija vidnega živca pri boleznih, uvrščenih drugje;Optic atrophy in diseases classified elsewhere
H48.1;Retrobulbarni nevritis pri boleznih, uvrščenih drugje;Retrobulbar neuritis in diseases classified elsewhere
H48.8;Druge okvare vidnega živca in vidnih prog pri boleznih, uvrščenih drugje;Other disorders of optic nerve and visual pathways in diseases classified elsewhere
H49;Paralitično škiljenje;Paralytic strabismus
H49.0;Ohromelost tretjega možganskega živca [okulomotoriusa];Third [oculomotor] nerve palsy
H49.1;Ohromelost četrtega možganskega živca [trohlearisa];Fourth [trochlear] nerve palsy
H49.2;Ohromelost šestega možganskega živca [abducensa];Sixth [abducent] nerve palsy
H49.3;Popolna (zunanja) oftalmoplegija;Total (external) ophthalmoplegia
H49.4;Progresivna zunanja oftalmoplegija;Progressive external ophthalmoplegia
H49.8;Druge vrste paralitično škiljenje;Other paralytic strabismus
H49.9;Paralitično škiljenje, neopredeljeno;Paralytic strabismus, unspecified
H50;Druge vrste škiljenje;Other strabismus
H50.0;Konvergentno konkomitantno škiljenje;Convergent concomitant strabismus
H50.1;Divergentno konkomitantno škiljenje;Divergent concomitant strabismus
H50.2;Navpično škiljenje;Vertical strabismus
H50.3;Intermitentna heterotropija;Intermittent heterotropia
H50.4;Druge vrste in neopredeljene heterotropije;Other and unspecified heterotropia
H50.5;Heteroforija;Heterophoria
H50.6;Mehansko škiljenje;Mechanical strabismus
H50.8;Druge vrste opredeljeno škiljenje;Other specified strabismus
H50.9;Škiljenje, neopredeljeno;Strabismus, unspecified
H51;Druge okvare binokularnega gibanja;Other disorders of binocular movement
H51.0;Ohromelost konjugiranega pogleda;Palsy of conjugate gaze
H51.1;Insuficienca in eksces konvergence;Convergence insufficiency and excess
H51.2;Internuklearna oftalmoplegija;Internuclear ophthalmoplegia
H51.8;Druge opredeljene okvare binokularnega gibanja;Other specified disorders of binocular movement
H51.9;Okvara binokularnega gibanja, neopredeljena;Disorder of binocular movement, unspecified
H52;Okvare refrakcije in akomodacije;Disorders of refraction and accommodation
H52.0;Daljnovidnost (hipermetropija);Hypermetropia
H52.1;Kratkovidnost (miopija);Myopia
H52.2;Astigmatizem;Astigmatism
H52.3;Anizometropija in anizeikonija;Anisometropia and aniseikonia
H52.4;Starostna slabovidnost (presbiopija);Presbyopia
H52.5;Okvare akomodacije;Disorders of accommodation
H52.6;Druge refrakcijske okvare;Other disorders of refraction
H52.7;Refrakcijska okvara, neopredeljena;Disorder of refraction, unspecified
H53;Motnje vida;Visual disturbances
H53.0;Amblyopia ex anopsia;Amblyopia ex anopsia
H53.1;Subjektivne motnje vida;Subjective visual disturbances
H53.2;Diplopija;Diplopia
H53.3;Druge okvare binokularnega vida;Other disorders of binocular vision
H53.4;Izpadi v vidnem polju;Visual field defects
H53.5;Izpadi v razlikovanju barv;Colour vision deficiencies
H53.6;Nočna slepota;Night blindness
H53.8;Druge motnje vida;Other visual disturbances
H53.9;Motnja vida, neopredeljena;Visual disturbance, unspecified
H54;Slepota in slabovidnost;Visual impairment including binocular or monocular blindness
H54.0;Slepota obeh očes;Blindness, binocular
H54.1;Slepota enega očesa, slabovidnost drugega očesa;Severe visual impairment, binocular
H54.2;Slabovidnost obeh očes;Moderate visual impairment, binocular
H54.3;Nekvalificirana izguba vida obeh očes;Mild or no visual impairment, binocular
H54.4;Slepota enega očesa;Blindness, monocular
